title,author,journal,number,cites,year,cid,pubid,scholar_name,scholar_id
Sok: Preventing transaction reordering manipulations in decentralized finance,"L Heimbach, R Wattenhofer",Proceedings of the,4th ACM Conference on Advances in Financial Technologies …,97,2022,4851859544929246894,Y0pCki6q_DkC,Lioba Heimbach,CJgiaf0AAAAJ
Risks and returns of uniswap v3 liquidity providers,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,4th ACM Conference on Advances in Financial Technologies …,90,2022,917660983561336178,_FxGoFyzp5QC,Lioba Heimbach,CJgiaf0AAAAJ
Eliminating Sandwich Attacks with the Help of Game Theory,"L Heimbach, R Wattenhofer",,2022 ACM Asia Conference on Computer and Communications Security (ASIA CCS …,75,2022,10314673415943694329,zYLM7Y9cAGgC,Lioba Heimbach,CJgiaf0AAAAJ
Behavior of liquidity providers in decentralized exchanges,"L Heimbach, Y Wang, R Wattenhofer",,"2021 Crypto Valley Conference on Blockchain Technology (CVCBT), Rotkreuz …",72,2021,93995474768875627,u-x6o8ySG0sC,Lioba Heimbach,CJgiaf0AAAAJ
Ethereum's Proposer-Builder Separation: Promises and Realities,"L Heimbach, L Kiffer, C Ferreira Torres, R Wattenhofer",Proceedings of the,"2023 ACM on Internet Measurement Conference, 406-420",60,2023,10581142431940111554,7PzlFSSx8tAC,Lioba Heimbach,CJgiaf0AAAAJ
Ride the lightning: The game theory of payment channels,"Z Avarikioti, L Heimbach, Y Wang, R Wattenhofer",Financial Cryptography and Data Security:,"24th International Conference, FC …",50,2020,"12665978203693825619,11045339156420192321",qjMakFHDy7sC,Lioba Heimbach,CJgiaf0AAAAJ
An Empirical Study of Market Inefficiencies in Uniswap and SushiSwap,"JA Berg, R Fritsch, L Heimbach, R Wattenhofer",The,"2nd Workshop on Decentralized Finance (DeFi), Grenada",45,2022,"8023136457067148937,16344704281012451112",Tyk-4Ss8FVUC,Lioba Heimbach,CJgiaf0AAAAJ
FnF-BFT: A BFT Protocol with Provable Performance Under Attack,"Z Avarikioti, L Heimbach, R Schmid, L Vanbever, R Wattenhofer, ...",Structural Information and Communication Complexity:,30th International …,44,2023,"16046682704499040612,2618868090220268741",L8Ckcad2t8MC,Lioba Heimbach,CJgiaf0AAAAJ
Ethereum proof-of-stake consensus layer: Participation and decentralization,"D Grandjean, L Heimbach, R Wattenhofer",International Conference on Financial Cryptography and Data Security,253-280,37,2024,11216961081647720189,IWHjjKOFINEC,Lioba Heimbach,CJgiaf0AAAAJ
Non-atomic arbitrage in decentralized finance,"L Heimbach, V Pahari, E Schertenleib",,"2024 IEEE Symposium on Security and Privacy (SP), 3866-3884",25,2024,11175343883572998255,mB3voiENLucC,Lioba Heimbach,CJgiaf0AAAAJ
DeFi Lending During The Merge,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,5th Conference on Advances in Financial Technologies,20,2023,14416722898351440838,qxL8FJ1GzNcC,Lioba Heimbach,CJgiaf0AAAAJ
Defi and nfts hinder blockchain scalability,"L Heimbach, Q Kniep, Y Vonlanthen, R Wattenhofer",International Conference on Financial Cryptography and Data Security,291-309,18,2023,8038190646010662783,4DMP91E08xMC,Lioba Heimbach,CJgiaf0AAAAJ
Base Fee Manipulation In Ethereum's EIP-1559 Transaction Fee Mechanism,"S Azouvi, G Goren, L Heimbach, A Hicks",arXiv preprint arXiv:,:2304.11478,16,2023,4568545611073738917,QIV2ME_5wuYC,Lioba Heimbach,CJgiaf0AAAAJ
Sok: Attacks on DAOs,"R Feichtinger, R Fritsch, L Heimbach, Y Vonlanthen, R Wattenhofer",Proceedings of the,6th Conference on Advances in Financial Technologies,12,2024,"11389648721030847750,2309801137387697376",HDshCWvjkbEC,Lioba Heimbach,CJgiaf0AAAAJ
A fair and resilient decentralized clock network for transaction ordering,"A Constantinescu, D Ghinea, L Heimbach, Z Wang, R Wattenhofer",arXiv preprint arXiv:,:2305.05206,11,2023,12013619758342560167,9ZlFYXVOiuMC,Lioba Heimbach,CJgiaf0AAAAJ
Defi leverage,"L Heimbach, W Huang",Available at SSRN,4459384,10,2023,9012927520714199740,dhFuZR0502QC,Lioba Heimbach,CJgiaf0AAAAJ
Exploring price accuracy on uniswap v3 in times of distress,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,2022 ACM CCS Workshop on Decentralized Finance and …,8,2022,15346618772117818058,ULOm3_A8WrAC,Lioba Heimbach,CJgiaf0AAAAJ
The potential of self-regulation for front-running prevention on dexes,"L Heimbach, E Schertenleib, R Wattenhofer",arXiv preprint arXiv:,:2306.05756,7,2023,3150839492790531454,ZeXyd9-uunAC,Lioba Heimbach,CJgiaf0AAAAJ
Short squeeze in defi lending market: Decentralization in jeopardy?,"L Heimbach, EG Schertenleib, R Wattenhofer",arXiv preprint arXiv:,:2302.04068,7,2023,13694186019300591418,aqlVkmm33-oC,Lioba Heimbach,CJgiaf0AAAAJ
Dissecting the eip-2930 optional access lists,"L Heimbach, Q Kniep, Y Vonlanthen, R Wattenhofer, P Züst",International Conference on Financial Cryptography and Data Security,292-302,5,2024,14994936375907733783,hFOr9nPyWt4C,Lioba Heimbach,CJgiaf0AAAAJ
The Early Days of the Ethereum Blob Fee Market and Lessons Learnt,"L Heimbach, J Milionis",arXiv preprint arXiv:,:2502.12966,1,2025,6415776673509583079,k_IJM867U9cC,Lioba Heimbach,CJgiaf0AAAAJ
On the Lifecycle of a Lightning Network Payment Channel,"F Grötschla, L Heimbach, S Richner, R Wattenhofer",arXiv preprint arXiv:,:2409.15930,1,2024,17055554813738950151,RHpTSmoSYBkC,Lioba Heimbach,CJgiaf0AAAAJ
Deanonymizing ethereum validators: The p2p network has a privacy issue,"L Heimbach, Y Vonlanthen, J Villacis, L Kiffer, R Wattenhofer",arXiv preprint arXiv:,:2409.04366,1,2024,9493565413086810250,_Qo2XoVZTnwC,Lioba Heimbach,CJgiaf0AAAAJ
Benchmarking GNNs Using Lightning Network Data,"R Feichtinger, F Grötschla, L Heimbach, R Wattenhofer",arXiv preprint arXiv:,:2407.07916,1,2024,188721606714248553,R3hNpaxXUhUC,Lioba Heimbach,CJgiaf0AAAAJ
PIBES-A Competing-Flow-Aware Protocol for Real-Time Video Applications,"L Heimbach, L Guo, RKH Ngan, JYB Lee",IEEE Open Journal of the Communications Society,"1, 1267-1277",1,2020,13137928814746649101,UeHWp8X0CEIC,Lioba Heimbach,CJgiaf0AAAAJ
Transaction Fee Market Design for Parallel Execution,"B Acilan, A Constantinescu, L Heimbach, R Wattenhofer",arXiv preprint arXiv:,:2502.11964,0,2025,NA,iH-uZ7U-co4C,Lioba Heimbach,CJgiaf0AAAAJ
Transaction Fee Mechanism Design for Leaderless Blockchain Protocols,"P Garimidi, L Heimbach, T Roughgarden",Financial Cryptography and Data Security (FC),,0,2025,NA,maZDTaKrznsC,Lioba Heimbach,CJgiaf0AAAAJ
On Scaling Decentralized Blockchains: (A Position Paper),"K Croman, C Decker, I Eyal, AE Gencer, A Juels, A Kosba, A Miller, ...",International conference on financial cryptography and data security,106-125,1800,2016,"7776724190270674818,6295392644125291129",BJrgspguQaEC,Roger Wattenhofer,EG3VPm4AAAAJ
Information propagation in the bitcoin network,"C Decker, R Wattenhofer",IEEE P,"P2P 2013 Proceedings, 1-10",1682,2013,16907598549939774154,owLR8QvbtFgC,Roger Wattenhofer,EG3VPm4AAAAJ
Achieving high utilization with software-driven WAN,"CY Hong, S Kandula, R Mahajan, M Zhang, V Gill, M Nanduri, ...",Proceedings of the ACM SIGCOMM,"2013 Conference on SIGCOMM, 15-26",1502,2013,5322311437486975645,L1USKYWJimsC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed topology control for power efficient operation in multihop wireless ad hoc networks,"R Wattenhofer, L Li, P Bahl, YM Wang",Proceedings IEEE INFOCOM,2001. Conference on computer communications …,1401,2001,"11953283691490798602,11782893060454711799",u5HHmVD_uO8C,Roger Wattenhofer,EG3VPm4AAAAJ
"FARSITE: Federated, available, and reliable storage for an incompletely trusted environment","A Adya, WJ Bolosky, M Castro, G Cermak, R Chaiken, JR Douceur, ...",ACM SIGOPS Operating Systems Review,"36 (SI), 1-14",1388,2002,"8646080549135368752,17999616238363022945",nZcligLrVowC,Roger Wattenhofer,EG3VPm4AAAAJ
Geometric ad-hoc routing: Of theory and practice,"F Kuhn, R Wattenhofer, Y Zhang, A Zollinger",Proceedings of the twenty-second annual symposium on Principles of …,,1000,2003,10074035079396579133,d1gkVwhDpl0C,Roger Wattenhofer,EG3VPm4AAAAJ
Does topology control reduce interference?,"M Burkhart, P Von Rickenbach, R Wattenhofer, A Zollinger",Proceedings of the,5th ACM international symposium on Mobile ad hoc …,811,2004,6690066403432075090,qjMakFHDy7sC,Roger Wattenhofer,EG3VPm4AAAAJ
Worst-case optimal and average-case efficient geometric ad-hoc routing,"F Kuhn, R Wattenhofer, A Zollinger",Proceedings of the,4th ACM international symposium on Mobile ad hoc …,791,2003,18060887793181908889,9yKSN-GCB0IC,Roger Wattenhofer,EG3VPm4AAAAJ
A fast and scalable payment network with bitcoin duplex micropayment channels,"C Decker, R Wattenhofer","Stabilization, Safety, and Security of Distributed Systems:",17th …,685,2015,18426123069175476024,silx2ntsSuwC,Roger Wattenhofer,EG3VPm4AAAAJ
Analysis of a cone-based distributed topology control algorithm for wireless multi-hop networks,"L Li, JY Halpern, P Bahl, YM Wang, R Wattenhofer",Proceedings of the twentieth annual ACM symposium on Principles of …,,569,2001,143718187098386042,2osOgNQ5qMEC,Roger Wattenhofer,EG3VPm4AAAAJ
Dynamic scheduling of network updates,"X Jin, HH Liu, R Gandhi, S Kandula, R Mahajan, M Zhang, J Rexford, ...",ACM SIGCOMM Computer Communication Review,"44 (4), 539-550",518,2014,16249184050936541118,VN7nJs4JPk0C,Roger Wattenhofer,EG3VPm4AAAAJ
Ad-hoc networks beyond unit disk graphs,"F Kuhn, R Wattenhofer, A Zollinger",Proceedings of the,"2003 joint workshop on Foundations of mobile computing, 69-78",482,2003,6411408055169079267,yMeIxYmEMEAC,Roger Wattenhofer,EG3VPm4AAAAJ
Gradient clock synchronization in wireless sensor networks,"P Sommer, R Wattenhofer",,2009 International Conference on Information Processing in Sensor Networks …,468,2009,3441457930327804890,PVgj2kMGcgYC,Roger Wattenhofer,EG3VPm4AAAAJ
Complexity in geometric SINR,"O Goussevskaia, YA Oswald, R Wattenhofer",Proceedings of the,8th ACM international symposium on Mobile ad hoc …,468,2007,2259776144379140976,ufrVoPGSRksC,Roger Wattenhofer,EG3VPm4AAAAJ
A cone-based distributed topology-control algorithm for wireless multi-hop networks,"L Li, JY Halpern, P Bahl, YM Wang, R Wattenhofer",IEEE/ACM Transactions on networking,"13 (1), 147-159",450,2005,4426827627182957677,Tyk-4Ss8FVUC,Roger Wattenhofer,EG3VPm4AAAAJ
XTC: A practical topology control algorithm for ad-hoc networks,"R Wattenhofer, A Zollinger",,"18th International Parallel and Distributed Processing Symposium, 2004 …",435,2004,17135860200211378068,zYLM7Y9cAGgC,Roger Wattenhofer,EG3VPm4AAAAJ
Free riding in BitTorrent is cheap,"T Locher, P Moore, S Schmid, R Wattenhofer",,,417,2006,9870131309830186675,Y0pCki6q_DkC,Roger Wattenhofer,EG3VPm4AAAAJ
Serverless distributed file system,"A Adya, WJ Bolosky, G Cermak, JR Douceur, MM Theimer, ...",US Patent,"7,062,490",409,2006,"16853307906262560180,10172849522509358847",IWHjjKOFINEC,Roger Wattenhofer,EG3VPm4AAAAJ
Dozer: ultra-low power data gathering in sensor networks,"N Burri, P Von Rickenbach, R Wattenhofer",Proceedings of the,6th international conference on Information processing in …,407,2007,2683549508473644840,WF5omc3nYNoC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed verification and hardness of distributed approximation,"A Das Sarma, S Holzer, L Kor, A Korman, D Nanongkai, G Pandurangan, ...",Proceedings of the forty-third annual ACM symposium on Theory of computing …,,392,2011,18304291759664102488,Tiz5es2fbqcC,Roger Wattenhofer,EG3VPm4AAAAJ
Asymptotically optimal geometric mobile ad-hoc routing,"F Kuhn, R Wattenhofer, A Zollinger",Proceedings of the,6th international workshop on Discrete algorithms and …,389,2002,14204184389406707650,IjCSPb-OGe4C,Roger Wattenhofer,EG3VPm4AAAAJ
The impact of Internet policy and topology on delayed routing convergence,"C Labovitz, A Ahuja, R Wattenhofer, S Venkatachary",Proceedings IEEE INFOCOM,2001. Conference on Computer Communications …,384,2001,5410849010351640057,UeHWp8X0CEIC,Roger Wattenhofer,EG3VPm4AAAAJ
The complexity of connectivity in wireless networks,"T Moscibroda, R Wattenhofer",INFOCOM,2006: 25th Annual Joint Conference of the IEEE Computer and …,363,2006,3589746545157012582,eQOLeE2rZwMC,Roger Wattenhofer,EG3VPm4AAAAJ
Bitcoin transaction malleability and MtGox,"C Decker, R Wattenhofer",Computer Security-ESORICS,2014: 19th European Symposium on Research in …,360,2014,1791238831522712221,ce2CqMG-AY4C,Roger Wattenhofer,EG3VPm4AAAAJ
What cannot be computed locally!,"F Kuhn, T Moscibroda, R Wattenhofer",Proceedings of the twenty-third annual ACM symposium on Principles of …,,335,2004,8101333603264312931,YsMSGLbcyi4C,Roger Wattenhofer,EG3VPm4AAAAJ
Constant-time distributed dominating set approximation,"F Kuhn, R Wattenhofer",Proceedings of the twenty-second annual symposium on Principles of …,,322,2003,122651447692484610,W7OEmFMy1HYC,Roger Wattenhofer,EG3VPm4AAAAJ
Capacity of arbitrary wireless networks,"O Goussevskaia, R Wattenhofer, MM Halldórsson, E Welzl",IEEE INFOCOM,"2009, 1872-1880",306,2009,6471576120608378293,4TOpqqG69KYC,Roger Wattenhofer,EG3VPm4AAAAJ
zUpdate: Updating data center networks with zero loss,"HH Liu, X Wu, M Zhang, L Yuan, R Wattenhofer, D Maltz",Proceedings of the ACM SIGCOMM,"2013 Conference on SIGCOMM, 411-422",304,2013,8311883509905981953,MhiOAD_qIWkC,Roger Wattenhofer,EG3VPm4AAAAJ
Bitcoin meets strong consistency,"C Decker, J Seidel, R Wattenhofer",Proceedings of the,17th International Conference on Distributed Computing …,302,2016,12014636063801773588,SGW5VrABaM0C,Roger Wattenhofer,EG3VPm4AAAAJ
Word of mouth: Rumor dissemination in social networks,"J Kostka, YA Oswald, R Wattenhofer",Structural Information and Communication Complexity:,15th International …,286,2008,6123839407006679354,ZHo1McVdvXMC,Roger Wattenhofer,EG3VPm4AAAAJ
The science of the blockchain,R Wattenhofer,CreateSpace Independent Publishing Platform,,285,2016,10123997078499997143,3_LpOwP6eMYC,Roger Wattenhofer,EG3VPm4AAAAJ
Topology control meets SINR: the scheduling complexity of arbitrary topologies,"T Moscibroda, R Wattenhofer, A Zollinger",Proceedings of the,7th ACM international symposium on Mobile ad hoc …,273,2006,8311947122430138127,_FxGoFyzp5QC,Roger Wattenhofer,EG3VPm4AAAAJ
Optimal clock synchronization in networks,"C Lenzen, P Sommer, R Wattenhofer",Proceedings of the,7th ACM Conference on Embedded Networked Sensor Systems …,267,2009,7829260893675466758,e5wmG9Sq2KIC,Roger Wattenhofer,EG3VPm4AAAAJ
The price of being near-sighted,"F Kuhn, T Moscibroda, R Wattenhofer",SODA,"2006: 17th ACM-SIAM Symposium on Discrete Algorithms, Miami, Florida, USA",245,2006,6284594411770209399,UebtZRa9Y70C,Roger Wattenhofer,EG3VPm4AAAAJ
Initializing newly deployed ad hoc and sensor networks,"F Kuhn, T Moscibroda, R Wattenhofer",Proceedings of the,10th annual international conference on Mobile computing …,243,2004,13288981953407299383,roLk4NBRz8UC,Roger Wattenhofer,EG3VPm4AAAAJ
Local computation: Lower and upper bounds,"F Kuhn, T Moscibroda, R Wattenhofer",Journal of the ACM (JACM),"63 (2), 1-44",235,2016,13674562876886482773,_Ybze24A_UAC,Roger Wattenhofer,EG3VPm4AAAAJ
On identifiability in transformers,"G Brunner, Y Liu, D Pascual, O Richter, M Ciaramita, R Wattenhofer",arXiv preprint arXiv:,:1908.04211,233,2019,1119021683739736991,BPS1z4jHU5cC,Roger Wattenhofer,EG3VPm4AAAAJ
The YouTube social network,"M Wattenhofer, R Wattenhofer, Z Zhu",Proceedings of the International AAAI Conference on Web and Social Media,6 …,233,2012,6210419355427536282,lvd772isFD0C,Roger Wattenhofer,EG3VPm4AAAAJ
Network correlated data gathering with explicit communication: NP-completeness and algorithms,"R Cristescu, B Beferull-Lozano, M Vetterli, R Wattenhofer",IEEE/ACM Transactions On Networking,"14 (1), 41-54",229,2006,17243293803034292362,Se3iqnhoufwC,Roger Wattenhofer,EG3VPm4AAAAJ
"Have a snack, pay with Bitcoins","T Bamert, C Decker, L Elsen, R Wattenhofer, S Welten",IEEE P,"P2P 2013 Proceedings, 1-5",228,2013,5272401221236782809,jU7OWUQzBzMC,Roger Wattenhofer,EG3VPm4AAAAJ
On consistent updates in software defined networks,"R Mahajan, R Wattenhofer",Proceedings of the Twelfth ACM Workshop on Hot Topics in Networks,1-7,224,2013,4738826731993684283,DBa1UEJaJKAC,Roger Wattenhofer,EG3VPm4AAAAJ
On the complexity of distributed graph coloring,"F Kuhn, R Wattenhofer",Proceedings of the twenty-fifth annual ACM symposium on Principles of …,,221,2006,12295582364063076545,qxL8FJ1GzNcC,Roger Wattenhofer,EG3VPm4AAAAJ
Gathering correlated data in sensor networks,"P Von Rickenbach, R Wattenhofer",Proceedings of the,"2004 joint workshop on Foundations of mobile computing, 60-66",218,2004,13069541792088668269,LkGwnXOMwfcC,Roger Wattenhofer,EG3VPm4AAAAJ
Protocol design beyond graph-based models,"T Moscibroda, R Wattenhofer, Y Weber",HotNets,"2006: 5th Workshop on Hot Topics in Networks, Irvine, California, USA",216,2006,12311921333177066629,8k81kl-MbHgC,Roger Wattenhofer,EG3VPm4AAAAJ
Sok: Decentralized finance (defi) attacks,"L Zhou, X Xiong, J Ernstberger, S Chaliasos, Z Wang, Y Wang, K Qin, ...",,"2023 IEEE Symposium on Security and Privacy (SP), 2444-2461",199,2023,15516575366407912671,qYOp8iumCsAC,Roger Wattenhofer,EG3VPm4AAAAJ
Information dissemination in highly dynamic graphs,"R O'Dell, R Wattenhofer",Proceedings of the,2005 joint workshop on Foundations of mobile computing …,194,2005,9260377910336504153,JV2RwH3_ST0C,Roger Wattenhofer,EG3VPm4AAAAJ
Unit disk graph approximation,"F Kuhn, T Moscibroda, R Wattenhofer",Proceedings of the,"2004 joint workshop on Foundations of mobile computing, 17-23",192,2004,13229377342404410690,0EnyYjriUFMC,Roger Wattenhofer,EG3VPm4AAAAJ
A log-star distributed maximal independent set algorithm for growth-bounded graphs,"J Schneider, R Wattenhofer",Proceedings of the twenty-seventh ACM symposium on Principles of distributed …,,191,2008,6969053361393859602,M3ejUd6NZC8C,Roger Wattenhofer,EG3VPm4AAAAJ
MIDI-VAE: Modeling dynamics and instrumentation of music with applications to style transfer,"G Brunner, A Konrad, Y Wang, R Wattenhofer",arXiv preprint arXiv:,:1809.07600,190,2018,5346555566049389274,xGWFX6Gbr9MC,Roger Wattenhofer,EG3VPm4AAAAJ
A robust interference model for wireless ad-hoc networks,"P Von Rickenbach, S Schmid, R Wattenhofer, A Zollinger",,"19th IEEE International Parallel and Distributed Processing Symposium, 8 pp.",189,2005,17194773575147183535,5nxA0vEk-isC,Roger Wattenhofer,EG3VPm4AAAAJ
Towards a zero-configuration wireless sensor network architecture for smart buildings,"L Schor, P Sommer, R Wattenhofer",Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy …,,185,2009,16256398699737588085,NaGl4SEjCO4C,Roger Wattenhofer,EG3VPm4AAAAJ
DropGNN: Random dropouts increase the expressiveness of graph neural networks,"PA Papp, K Martinkus, L Faber, R Wattenhofer",Advances in Neural Information Processing Systems,"34, 21997-22009",184,2021,6783529052723520360,I-2NeQpV75MC,Roger Wattenhofer,EG3VPm4AAAAJ
Algorithmic models for sensor networks,"S Schmid, R Wattenhofer",Proceedings,20th IEEE International Parallel & Distributed Processing …,182,2006,3777706174143958487,4DMP91E08xMC,Roger Wattenhofer,EG3VPm4AAAAJ
Optimal distributed all pairs shortest paths and applications,"S Holzer, R Wattenhofer",Proceedings of the,2012 ACM symposium on Principles of distributed computing …,179,2012,10893861137498045550,Bg7qf7VwUHIC,Roger Wattenhofer,EG3VPm4AAAAJ
How live streaming changes shopping decisions in E-commerce: A study of live streaming commerce,"Y Wang, Z Lu, P Cao, J Chu, H Wang, R Wattenhofer",Computer Supported Cooperative Work (CSCW),"31 (4), 701-729",177,2022,17869585451248145694,BFa5h04uPMwC,Roger Wattenhofer,EG3VPm4AAAAJ
Networks cannot compute their diameter in sublinear time,"S Frischknecht, S Holzer, R Wattenhofer",Proceedings of the twenty-third annual ACM-SIAM symposium on Discrete …,,174,2012,17410408136740564691,P7Ujq4OLJYoC,Roger Wattenhofer,EG3VPm4AAAAJ
Veneta: Serverless friend-of-friend detection in mobile social networking,"M Von Arb, M Bader, M Kuhn, R Wattenhofer",,2008 IEEE International Conference on Wireless and Mobile Computing …,171,2008,14290331109575422164,RGFaLdJalmkC,Roger Wattenhofer,EG3VPm4AAAAJ
When selfish meets evil: Byzantine players in a virus inoculation game,"T Moscibroda, S Schmid, R Wattenhofer",Proceedings of the twenty-fifth annual ACM symposium on Principles of …,,171,2006,5565499904105511912,KlAtU1dfN6UC,Roger Wattenhofer,EG3VPm4AAAAJ
PulseSync: An efficient and scalable clock synchronization protocol,"C Lenzen, P Sommer, R Wattenhofer",IEEE/ACM Transactions on Networking,"23 (3), 717-727",166,2014,7288161284246600704,jE2MZjpN3IcC,Roger Wattenhofer,EG3VPm4AAAAJ
Coloring unstructured radio networks,"T Moscibroda, R Wattenhofer",Proceedings of the seventeenth annual ACM symposium on Parallelism in …,,166,2005,15218983119862677017,_kc_bZDykSQC,Roger Wattenhofer,EG3VPm4AAAAJ
Randomized 3D geographic routing,"R Flury, R Wattenhofer",IEEE INFOCOM,"2008-The 27th Conference on Computer Communications, 834-842",164,2008,6362656829341784425,8xutWZnSdmoC,Roger Wattenhofer,EG3VPm4AAAAJ
An algorithmic approach to geographic routing in ad hoc and sensor networks,"F Kuhn, R Wattenhofer, A Zollinger",IEEE/ACM Transactions On Networking,"16 (1), 51-62",160,2008,15822584136923141385,_Qo2XoVZTnwC,Roger Wattenhofer,EG3VPm4AAAAJ
Maximizing the lifetime of dominating sets,"T Moscibroda, R Wattenhofer",,"19th IEEE International Parallel and Distributed Processing Symposium, 8 pp.",159,2005,15159703136060745344,Zph67rFs4hoC,Roger Wattenhofer,EG3VPm4AAAAJ
Fast deterministic distributed maximal independent set computation on growth-bounded graphs,"F Kuhn, T Moscibroda, T Nieberg, R Wattenhofer",Distributed Computing:,"19th International Conference, DISC 2005, Cracow …",155,2005,12893377823838055516,MXK_kJrjxJIC,Roger Wattenhofer,EG3VPm4AAAAJ
Wireless Communication is in APX,"MM Halldórsson, R Wattenhofer","International Colloquium on Automata, Languages, and Programming",525-536,153,2009,272547431535625561,R3hNpaxXUhUC,Roger Wattenhofer,EG3VPm4AAAAJ
Scalable funding of bitcoin micropayment channel networks,"C Burchert, C Decker, R Wattenhofer",Royal Society open science,"5 (8), 180089",147,2018,2485688346085110724,4Yq6kJLCcecC,Roger Wattenhofer,EG3VPm4AAAAJ
Local broadcasting in the physical interference model,"O Goussevskaia, T Moscibroda, R Wattenhofer",Proceedings of the fifth international workshop on Foundations of mobile …,,140,2008,7273054913230836060,maZDTaKrznsC,Roger Wattenhofer,EG3VPm4AAAAJ
Virtual coordinates for ad hoc and sensor networks,"T Moscibroda, R O'Dell, M Wattenhofer, R Wattenhofer",Proceedings of the,"2004 joint workshop on Foundations of mobile computing, 8-16",140,2004,12808880631923842779,hqOjcs7Dif8C,Roger Wattenhofer,EG3VPm4AAAAJ
On the topologies formed by selfish peers,"T Moscibroda, S Schmid, R Wattenhofer",Proceedings of the twenty-fifth annual ACM symposium on Principles of …,,139,2006,16071006966573524246,3fE2CSJIrl8C,Roger Wattenhofer,EG3VPm4AAAAJ
MLS: an efficient location service for mobile ad hoc networks,"R Flury, R Wattenhofer",Proceedings of the,7th ACM international symposium on Mobile ad hoc …,139,2006,12506187355271179116,ZeXyd9-uunAC,Roger Wattenhofer,EG3VPm4AAAAJ
Maximal independent sets in radio networks,"T Moscibroda, R Wattenhofer",Proceedings of the twenty-fourth annual ACM symposium on Principles of …,,139,2005,1305039664771631863,Wp0gIr-vW9MC,Roger Wattenhofer,EG3VPm4AAAAJ
A new technique for distributed symmetry breaking,"J Schneider, R Wattenhofer",Proceedings of the,29th ACM SIGACT-SIGOPS symposium on Principles of …,135,2010,8478169417590154284,HoB7MX3m0LUC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed topology control for wireless multi-hop sensor networks,"P Bahl, L Li, YM Wang, RP Wattenhofer",US Patent,"6,990,080",135,2006,10203392909175909949,dfsIfKJdRG4C,Roger Wattenhofer,EG3VPm4AAAAJ
On the locality of bounded growth,"F Kuhn, T Moscibroda, R Wattenhofer",Proceedings of the twenty-fourth annual ACM symposium on Principles of …,,133,2005,17197942829355208490,YOwf2qJgpHMC,Roger Wattenhofer,EG3VPm4AAAAJ
On consistent migration of flows in SDNs,"S Brandt, KT Förster, R Wattenhofer",IEEE INFOCOM,2016-The 35th Annual IEEE International Conference on Computer …,129,2016,16624606757116935325,g5Ck-dwhA_QC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed weighted matching,"M Wattenhofer, R Wattenhofer",Distributed Computing:,"18th International Conference, DISC 2004, Amsterdam …",127,2004,3505944652985266779,QIV2ME_5wuYC,Roger Wattenhofer,EG3VPm4AAAAJ
Optimizing file availability in a secure serverless distributed file system,"JR Douceur, RP Wattenhofer",Proceedings,"20th IEEE Symposium on Reliable Distributed Systems, 4-13",121,2001,2428948469400931336,kNdYIx-mwKoC,Roger Wattenhofer,EG3VPm4AAAAJ
Symbolic music genre transfer with cyclegan,"G Brunner, Y Wang, R Wattenhofer, S Zhao",,2018 ieee 30th international conference on tools with artificial …,119,2018,13674356761809168159,PuOEWVtPfzwC,Roger Wattenhofer,EG3VPm4AAAAJ
Cryptree: A folder tree structure for cryptographic file systems,"D Grolimund, L Meisser, S Schmid, R Wattenhofer",,"2006 25th IEEE Symposium on Reliable Distributed Systems (SRDS'06), 189-198",119,2006,2567690102606916831,hMod-77fHWUC,Roger Wattenhofer,EG3VPm4AAAAJ
Bluewallet: The secure bitcoin wallet,"T Bamert, C Decker, R Wattenhofer, S Welten",Security and Trust Management:,"10th International Workshop, STM 2014 …",118,2014,10807933200585412661,WAzi4Gm8nLoC,Roger Wattenhofer,EG3VPm4AAAAJ
A plug-and-play method for controlled text generation,"D Pascual, B Egressy, C Meister, R Cotterell, R Wattenhofer",arXiv preprint arXiv:,:2109.09707,117,2021,7910272156611722009,1wZ_wKGpLuwC,Roger Wattenhofer,EG3VPm4AAAAJ
Facility location: distributed approximation,"T Moscibroda, R Wattenhofer",Proceedings of the twenty-fourth annual ACM symposium on Principles of …,,117,2005,3119748974974300002,mVmsd5A6BfQC,Roger Wattenhofer,EG3VPm4AAAAJ
A tight runtime bound for synchronous gathering of autonomous robots with limited visibility,"B Degener, B Kempkes, T Langner, F Meyer auf der Heide, P Pietrzyk, ...",Proceedings of the twenty-third annual ACM symposium on Parallelism in …,,116,2011,10810343022667624467,N5tVd3kTz84C,Roger Wattenhofer,EG3VPm4AAAAJ
Recognition and repetition counting for complex physical exercises with deep learning,"A Soro, G Brunner, S Tanner, R Wattenhofer",Sensors,"19 (3), 714",115,2019,6027858129713457646,i_7YvbSbtFEC,Roger Wattenhofer,EG3VPm4AAAAJ
Greedy routing with bounded stretch,"R Flury, SV Pemmaraju, R Wattenhofer",IEEE INFOCOM,"2009, 1737-1745",112,2009,8369265600766902510,BqipwSGYUEgC,Roger Wattenhofer,EG3VPm4AAAAJ
